time,x,y,z
0,0.5760,0.0020,0.4340
0.05,0.5406,0.0659,0.4976
0.1,0.5021,0.1201,0.5601
0.15,0.4614,0.1651,0.6212
0.2,0.4188,0.2014,0.6808
0.25,0.3752,0.2294,0.7387
0.3,0.3310,0.2496,0.7949
0.35,0.2869,0.2625,0.8491
0.4,0.2434,0.2685,0.9011
0.45,0.2013,0.2682,0.9510
0.5,0.1611,0.2619,0.9984
0.55,0.1235,0.2501,1.0432
0.6,0.0889,0.2333,1.0854
0.65,0.0581,0.2120,1.1247
0.7,0.0317,0.1867,1.1610
0.75,0.0103,0.1577,1.1941
0.8,-0.0056,0.1256,1.2239
0.85,-0.0153,0.0908,1.2502
0.9,-0.0181,0.0538,1.2730
0.95,-0.0136,0.0150,1.2919
1,-0.0010,-0.0250,1.3070
